"zipcode","top_first","top_second","count_patients_1","count_patients_2"
"11697","I10","G47.00",2,20
"11701","Z71.3","Z71.89",5,26
"11702","J32.9",NA,1,0
"11703","I10","J30.89",1,7
"11704","E11.9","Z68.42",2,8
"11706","I10","Z00.00",3,16
"11710","I25.10","I10",2,11
"11713","I10","E03.9",2,14
"11714","E53.8","R73.01",1,5
"11715","F98.8","R07.89",1,1
"11717","Z71.3","Z71.89",8,23
"11720","E03.9","I10",1,13
"11721","J03.90",NA,1,0
"11722","I10","E78.5",3,20
"11725","I10","Z00.01",1,2
"11726","Z71.3","Z71.89",11,8
"11727","Z00.00","I82.409",6,5
"11729","E78.5","I10",4,17
"11730","J01.90",NA,1,0
"11731","custom","K21.9",1,13
"11733","I10","E11.9",1,12
"11735","Z71.89","I10",1,21
"11737","I25.110","R73.01",1,1
"11741","E11.9","Z00.01",2,3
"11743","J20.9","Z13.89",2,1
"11746","Z00.00","Z68.30",7,5
"11747","F90.9","I10",1,21
"11749","J00",NA,1,0
"11751","R50.9","Z13.89",1,1
"11752","R73.01","Z00.00",1,3
"11753","C61","I10",1,8
"11754","custom",NA,1,0
"11755","Z00.00","M25.512",2,1
"11756","I10","E11.69",5,34
"11757","I10","E11.9",1,5
"11758","F03.90","I10",1,27
"11762","I10","E78.5",5,20
"11763","I10","Z68.27",2,9
"11764","Z71.3","M06.4",1,2
"11767","custom","V67.9",1,1
"11768","Z00.00","Z71.3",2,3
"11769","Z68.1","E78.5",1,4
"11771","I25.10","I50.9",2,1
"11772","Z00.01","J30.9",2,2
"11776","custom",NA,1,0
"11777","T14.90",NA,1,0
"11779","Z00.00","E78.5",3,5
"11783","I10","E78.5",1,19
"11784","D51.0","Z68.30",1,6
"11787","I10","Z13.89",1,4
"11788","E66.3","Z68.21",1,2
"11789","J02.8",NA,1,0
"11791","Z13.89","E03.9",2,2
"11793","Z68.29","custom",1,4
"11795","Z68.30","custom",1,2
"11798","Z71.3","R73.01",1,9
"11801","I10","E03.9",7,30
"11802","Z68.21","Z00.00",1,2
"11803","I10","E03.9",2,6
"11901","Z71.89","Z71.3",2,8
"11930","R73.01","F41.9",1,1
"11933","M25.50",NA,1,0
"11934","custom","W57.XXXA",2,1
"11935","Z13.89","Z76.89",2,1
"11937","E78.0","Z00.8",3,2
"11946","I10","Z71.3",2,9
"11949","Z68.26","F71",1,1
"11950","Z00.00","Z68.30",2,3
"11952","T88.8XXA","custom",1,2
"11953","Z71.3","R21",1,1
"11954","Z71.3","Z71.89",3,10
"11959","custom","I10",1,2
"11960","N40.0","J44.9",1,33
"11964","E65",NA,1,0
"11968","Z68.24","S62.91XA",1,1
"11975","Z00.00",NA,1,0
"11980","C18.9","F03.90",1,3
"12015","Z01.89","F10.10",1,2
"12065","custom",NA,1,0
"12070","F90.0","F17.200",1,3
"12076","custom",NA,1,0
"12083","custom",NA,1,0
"12095","I10","E55.9",1,4
"12108","R51","N39.0",1,2
"12203","Z71.3","Z02.1",2,1
"12205","custom","R06.02",2,2
"12206","Z09","E11.9",1,2
"12208","Z68.38","E28.2",1,1
"12209","I10","J00",1,3
"12305","custom",NA,1,0
"12308","Z71.3",NA,1,0
"12345","I10","E11.9",5,13
"12401","T78.3XXA","custom",1,1
"12414","E11.9","B86",1,1
"12428","Z23","Z00.129",3,14
"12440","Z00.00","Z71.3",1,1
"12449","E03.9","D70.9",1,1
"12456","I10","K21.9",1,21
"12458","I10","Z68.23",1,1
"12461","Z71.89","Z12.31",1,2
"12474","E78.5","custom",2,9
"12477","I10","E78.5",2,8
"12484","I10","E03.9",1,29
"12498","Z68.25","J32.9",1,1
"12501","I10","N18.3",1,8
"12508","E78.5","M10.9",1,1
"12512","S92.901B","R55",1,1
"12518","custom","E78.5",4,3
"12520","R05","J31.0",1,1
"12522","I10","E03.9",1,17
"12524","custom","E78.5",4,7
"12525","Z23","F32.9",2,3
"12526","I10","E03.9",1,7
"12527","Z12.11","R07.9",1,1
"12528","custom",NA,1,0
"12531","Z68.52","Z00.110",1,1
"12533","E11.9","K21.9",1,8
"12538","Z71.3","Z68.34",1,1
"12540","Z00.00","E66.3",1,2
"12543","custom","L50.9",2,2
"12546","I10","E55.9",1,4
"12547","J06.9","Z12.11",1,1
"12549","R73.09","E55.9",1,5
"12550","custom","Z23",11,28
"12553","custom","E78.2",6,8
"12561","custom","E78.5",3,9
"12563","custom","E78.5",1,2
"12564","I10","M79.7",1,3
"12566","Z11.1","R11.2",1,1
"12569","custom","Z23",3,10
"12570","Z00.00","B36.0",1,1
"12571","I10","Z13.89",1,1
"12575","E11.65","I10",2,8
"12582","F90.9","F98.8",1,9
"12584","Z23","custom",2,6
"12586","E11.9","custom",3,7
"12589","I10","custom",2,6
"12590","custom","I10",10,27
"12594","I10","E11.69",1,11
"12601","I10","E11.65",2,20
"12603","custom","R51",3,5
"12721","E66.9","I10",1,4
"12729","custom","V70.0",1,2
"12748","J06.0","J00",1,1
"12771","E55.9","Z68.27",1,1
"12778","V20.2","V74.1",2,2
"12779","custom","E78.5",1,2
"12780","custom","R53.83",1,1
"12788","custom",NA,1,0
"12801","J45.909","N42.81",1,1
"12850","Z71.3",NA,1,0
"12996","E78.4","N40.0",1,5
"13021","custom","E03.9",1,2
"13031","Z68.54","Z00.129",1,4
"13090","custom","J06.9",2,3
"13148","Z01.89","J06.9",1,1
"13212","custom",NA,1,0
"13215","Z30.9","Z68.25",1,1
"13219","L03.90",NA,1,0
"13338","custom",NA,1,0
"13365","custom",NA,1,0
"13413","I10","E11.01",2,3
"13491","E11.69","I10",1,8
"13502","Z12.4","R51",1,1
"13602","N91.2","R21",1,1
"13634","I10","L70.9",1,1
"13667","Z01.89","S61.211A",1,1
"13733","custom","Z00.00",1,2
"13752","L98.499",NA,1,0
"13778","E11.65","Z91.81",1,1
"13790","Z68.27","E66.3",1,1
"13903","custom","V70.0",1,2
"13905","J45.901",NA,1,0
"14048","Z09","E66.01",1,1
"14052","E11.21","M06.9",1,21
"14056","N18.1","G35",1,4
"14060","Z00.01","R09.82",1,1
"14062","custom","Z11.3",1,1
"14067","E11.21","I12.9",1,29
"14069","J02.9","Z23",1,1
"14086","J40","F40.10",1,1
"14201","A64","Z72.0",1,1
"14214","N76.2","B48.8",1,1
"14215","custom",NA,1,0
"14221","S61.011A","R19.7",1,1
"14414","custom",NA,1,0
"14519","Z48.02","T81.30XA",1,1
"14534","J40",NA,1,0
"14580","E78.4","J03.90",1,1
"14610","H57.8",NA,1,0
"14618","Z68.1","S93.602A",1,1
"14624","J32.9","I10",1,1
"14626","E55.9","Z68.23",1,3
"14817","M19.90","I10",1,1
"14850","K21.9","B37.9",1,1
"15090","N39.0",NA,1,0
"15143","R19.7","R10.9",1,1
"15465","H66.92","H61.22",1,1
"15466","J39.9","Z01.89",1,1
"15474","Z01.89","Z68.37",2,2
"15485","Z01.89","L60.0",1,1
"15490","Z68.32","R21",1,1
"15501","Z09","Z01.89",5,6
"15502","Z01.89","Z68.32",5,3
"15510","Z01.89","Z68.29",3,2
"15521","Z01.89","Z00.00",3,3
"15522","Z01.89","Z68.24",2,2
"15530","Z01.89","Z00.00",19,8
"15531","Z01.89","Z00.00",86,29
"15532","Z01.89","Z00.00",184,48
"15533","Z01.89","Z00.121",22,7
"15534","Z01.89","Z09",6,4
"15537","I10","E78.5",1,3
"15538","Z01.89","Z68.52",10,4
"15539","Z01.89","Z09",90,23
"15615","Z72.0","F20.9",1,1
"15723","Z01.89","R10.13",1,1
"15906","Z68.36","B18.2",1,3
"16034","M25.511","Z68.30",1,1
"16035","K59.00","I10",1,1
"16037","M25.561","Z00.01",1,1
"16361","Z00.8","I10",1,1
"16362","Z01.89","Z09",6,3
"16364","Z01.89","Z00.00",61,24
"16365","Z01.89","Z00.00",51,25
"16366","Z68.30","Z01.89",2,5
"16367","Z11.3","Z00.00",7,7
"16368","Z11.3","Z00.00",43,40
"16369","Z01.89","Z00.00",16,15
"16370","Z01.89","Z00.00",10,5
"16371","Z00.00","Z01.89",9,9
"16372","Z00.00","Z11.3",26,23
"16373","Z00.00","Z01.89",3,3
"16374","Z01.89","Z11.3",5,4
"16375","Z01.89","Z68.52",14,9
"16401","Z68.27","Z11.3",1,2
"16402","Z68.26","Z00.00",3,3
"16403","Z01.89","I10",10,4
"16404","Z01.89","Z00.00",16,12
"16405","Z00.00","Z00.121",2,2
"16406","Z00.01","Z68.39",1,1
"16407","N20.0","M54.9",1,1
"16410","Z01.89","Z11.3",5,4
"16411","Z01.89","Z68.21",6,3
"16413","Z68.23","J45.909",1,1
"16428","Z68.30","Z00.00",1,1
"16636","J44.9","Z01.89",1,2
"16639","Z68.22","F41.9",1,1
"16929","Z01.89","Z00.00",3,1
"16935","Z00.00","Z09",3,3
"17103","Z68.25","Z01.89",1,1
"17313","Z01.89","Z13.6",2,1
"17315","Z68.24","F10.10",1,1
"17345","Z00.00","Z13.89",3,2
"17362","T78.40XA","Z68.52",1,1
"17401","Z00.129","Z23",1,3
"17601","I10","E78.5",1,5
"17846","Z68.23","Z12.31",1,1
"18015","Z71.3","E66.09",1,3
"18017","R73.01","Z00.00",2,6
"18018","I10","E13.9",1,1
"18020","R73.01","Z00.00",1,1
"18036","Z01.89","Z68.24",1,1
"18040","I10","Z12.31",2,2
"18041","Z01.89","R94.31",2,1
"18045","N40.0","E11.65",1,4
"18051","R36.9","Z01.89",1,1
"18063","Z68.27","Z00.00",1,1
"18064","custom","Z12.11",1,1
"18066","J02.9","Z01.89",1,1
"18067","custom",NA,1,0
"18068","I10","F17.210",1,1
"18069","Z01.89","Z68.32",1,1
"18070","Z01.89","F17.210",2,1
"18073","R21","H65.93",1,1
"18074","S65.513A","Z68.25",1,1
"18102","I10","Z68.23",3,7
"18103","Z68.34","R73.01",1,1
"18109","Z71.3","E66.01",2,2
"18201","Z71.3","Z68.21",4,4
"18210","custom",NA,1,0
"18301","custom","Z00.00",5,9
"18302","custom","Z68.52",4,10
"18324","custom","Z13.89",2,3
"18330","custom","Z13.89",2,4
"18337","E53.8","E03.9",2,9
"18344","F41.9","I10",1,6
"18346","custom","I10",1,3
"18353","M54.5","N39.0",1,2
"18360","E03.9","K21.9",2,38
"18424","Z68.39","M25.561",1,1
"18426","E11.65","E78.5",1,9
"18431","E29.1","Z68.25",1,7
"18436","Z68.36","B34.9",1,1
"18439","Z00.00","L26",2,1
"18440","Z68.31","Q15.9",1,1
"18444","K59.00","Z68.25",1,1
"18449","Z88.0","R05",1,1
"18458","Z01.89","H10.89",1,1
"18466","custom","I10",6,10
"18504","E11.69","I10",1,1
"18519","Z68.31","L04.9",1,1
"18602","Z00.00","R45.4",1,1
"18610","Z13.89","E55.9",2,3
"18619","Z68.33","E03.9",1,1
"18624","G89.4","Z59.0",1,1
"18627","J10.1","Z68.23",1,1
"18651","J02.9","custom",1,1
"18702","I73.9","Z00.01",1,2
"18708","Z68.23","Z23",1,1
"18847","Z00.01","E78.2",1,1
"18901","I50.9","K59.00",1,2
"18938","F33.40","E78.5",1,14
"18951","N39.0","custom",1,6
"18963","M79.601","Z68.25",1,1
"19004","J03.00","B35.4",1,1
"19034","Z71.3",NA,1,0
"19036","Z71.89","J02.9",1,1
"19040","Z01.812","E65",1,1
"19055","Z68.24","Z01.89",1,3
"19067","M17.9","Z13.89",1,2
"19095","R91.1","Z68.30",1,1
"19111","E11.9","I10",1,6
"19115","K12.2","K12.0",1,1
"19119","R20.9","Z02.79",1,1
"19124","Z71.3",NA,1,0
"19134","E11.9","I10",1,8
"19143","E66.3","custom",2,2
"19149","Z71.3",NA,1,0
"19335","R52","N89.8",1,1
"19380","Z68.26","Z01.89",1,1
"19382","F41.9","F90.0",1,1
"19395","J03.00","Z68.52",1,1
"19426","custom",NA,1,0
"19446","custom","V68.9",1,1
"19602","E11.29","E78.2",1,9
"19604","Z00.00","R73.01",2,3
"19605","Z71.3","E66.01",2,1
"19701","R63.4","N76.0",1,1
"19702","Z68.32",NA,1,0
"19709","E11.9","B35.3",1,1
"19720","F90.9","I10",1,8
"19801","L98.499","E87.0",1,1
"19901","M54.5","N39.0",1,1
"19904","T88.8XXA",NA,1,0
"19934","Z00.00","I10",1,3
"19966","Z68.32","E78.4",1,2
"20001","custom",NA,1,0
"20002","F90.9","custom",1,4
"20005","Z68.44","E28.2",1,1
"20007","Z23",NA,1,0
"20009","R03.0","E78.5",1,2
"20017","K59.01",NA,1,0
"20020","E65",NA,1,0
"20120","L70.9","custom",1,1
"20176","S09.8XXA","Y04.1XXA",1,1
"20178","N39.0","B37.9",1,1
"20723","Z00.01","Z13.89",1,1
"20735","custom","V70.0",1,1
"20746","J02.9","R68.89",1,1
"20772","custom",NA,1,0
"20783","T78.49XA","I10",1,1
"20785","J03.90",NA,1,0
"20815","Z68.20","R42",1,1
"20850","E78.5","Z00.00",1,1
"20874","I10","custom",1,3
"20877","Z68.38","custom",1,1
"20886","Z32.01","B00.9",1,1
"20895","custom","Z23",1,3
"20902","custom",NA,2,0
"20910","Z68.31","Z01.89",1,1
"21001","G90.09","D52.0",1,1
"21012","Z68.1","Z13.89",1,1
"21043","I10","Z68.41",1,1
"21113","J06.0","J01.91",1,1
"21158","custom",NA,1,0
"21204","Z68.34","G47.9",1,2
"21206","R03.0","J30.9",1,1
"21207","R10.32","K21.9",1,1
"21208","Z01.419","custom",1,1
"21209","M79.9","H10.9",1,1
"21215","J32.9","M79.7",1,1
"21221","Z71.3",NA,1,0
"21225","custom",NA,1,0
"21244","F03.90","Z91.81",1,1
"21273","Z01.89","H65.01",1,1
"21520","M54.5","Z00.00",1,1
"21701","Z71.7","L29.9",1,1
"21742","I10","E78.5",2,3
"21774","custom",NA,1,0
"21842","N76.0","B37.9",1,1
"22030","B40.1","I21.3",1,2
"22031","Z68.29","H10.9",1,1
"22046","L29.8","Z68.25",1,1
"22079","V74.5","custom",1,1
"22191","J30.89","J03.00",1,1
"22204","custom","V06.1",1,1
"22311","custom","I10",1,2
"22801","I10","Z68.43",1,3
"23103","Z68.22","Z01.818",1,1
"23192","R68.89","K52.9",1,1
"23227","Z01.89","Z68.26",1,1
"23234","Z71.3","E66.3",1,1
"23235","F32.9","J31.0",1,1
"23320","N18.6","R60.0",1,1
"23434","J02.9",NA,1,0
"23510","Z68.52","Z01.89",1,1
"23666","Z71.3",NA,1,0
"23701","I10","E03.9",1,7
"24017","D64.9","R60.0",1,1
"26508","F33.42","G56.22",1,1
"27253","custom",NA,1,0
"27407","custom","Z00.00",1,3
"27408","custom","V65.5",1,1
"27508","Z71.89","Z71.3",1,5
"27520","R73.09","J44.9",1,6
"27540","Z68.23","custom",1,1
"27545","E16.2",NA,1,0
"27571","custom",NA,1,0
"27587","I10","R42",1,3
"27591","Z68.26","Z13.89",1,1
"27604","Z68.27","B00.9",1,1
"27613","J03.80","J06.0",1,1
"27614","K62.5","custom",1,1
"27804","I10","Z76.0",1,1
"27834","Z71.3",NA,1,0
"28079","Z68.31","G35",1,2
"28217","L25.9","J30.9",1,1
"28262","N91.2","Z68.34",1,2
"28269","E65","Z01.812",1,1
"28356","F90.9","Z68.23",1,4
"28390","Z00.129","Z68.52",1,5
"28739","custom","V03.1",1,1
"28752","F11.10","M54.5",1,1
"29210","Z00.00",NA,1,0
"29485","Z71.3","E66.09",1,2
"29527","L91.0","Z91.81",1,2
"29572","Z00.00","Z68.23",2,2
"29577","custom","M19.90",1,5
"29593","custom",NA,1,0
"29642","L02.92",NA,1,0
"29801","Z01.419","E55.9",1,1
"29904","Z00.00","R42",1,1
"29907","K62.5","R21",1,1
"29926","custom",NA,1,0
"30022","Z01.89","M54.9",1,1
"30024","T78.40XA","R21",1,1
"30039","custom",NA,1,0
"30044","B37.9","Z12.4",1,1
"30046","Z68.42","I20.0",1,2
"30093","G89.11","Z09",1,1
"30101","Z68.52","M25.569",1,2
"30318","T78.40XA",NA,1,0
"30329","custom",NA,1,0
"30341","custom",NA,1,0
"30350","I10",NA,1,0
"30374","N18.6",NA,1,0
"31326","L89.309","L98.499",1,1
"32073","custom",NA,1,0
"32117","custom",NA,1,0
"32119","Z71.89","Z71.3",1,2
"32127","custom","E03.9",1,12
"32162","N18.9","D64.9",1,1
"32221","custom",NA,1,0
"32224","N30.01","Z01.89",1,1
"32225","T78.40XA","Z68.24",2,6
"32257","custom",NA,1,0
"32258","K52.89","E86.0",1,1
"32701","R21","J03.00",1,1
"32707","Z11.1","Z09",1,1
"32713","custom",NA,1,0
"32714","V20.2","J98.01",1,1
"32724","M12.9","E78.2",1,4
"32725","Z12.11","custom",2,2
"32746","custom","V70.0",1,1
"32750","J45.901",NA,1,0
"32752","Z02.89","T78.40XA",1,1
"32763","I10","E29.1",1,5
"32818","Z71.3",NA,1,0
"32828","I12.9","E78.2",1,3
"32836","Z68.27","L30.9",1,2
"32903","Z68.31","J02.9",1,1
"32907","Z68.31","M25.50",1,2
"32934","E11.22","E11.621",1,1
"32940","R05","Z68.32",1,1
"33009","J02.9","S76.219A",1,1
"33016","N30.00","Z68.34",1,1
"33018","E11.9","I10",2,5
"33021","Z13.89","J02.9",2,2
"33025","I10","E78.5",1,3
"33027","R21","T78.40XA",1,1
"33028","E66.3","Z71.3",1,1
"33033","H61.20","Z00.129",1,1
"33035","J11.1","H60.12",1,1
"33062","J02.9","Z68.23",1,1
"33063","I10","K29.00",1,1
"33065","custom","Z00.00",2,2
"33066","F41.9","E11.65",1,10
"33067","custom","Z01.89",2,1
"33073","Z68.36","K61.1",1,1
"33083","custom",NA,1,0
"33130","E11.9","R79.89",2,1
"33131","J02.9","J06.0",1,1
"33133","K52.9","R14.0",1,1
"33134","R05","J03.00",2,2
"33139","J32.9","J00",1,1
"33140","custom","Z01.89",1,1
"33155","R19.7","Z68.52",1,1
"33156","custom","J30.9",2,1
"33162","J02.9","R59.9",2,1
"33176","custom",NA,1,0
"33179","R73.01","Z00.00",1,6
"33180","custom",NA,1,0
"33183","custom",NA,1,0
"33186","Z09","R73.09",1,1
"33305","R22.40",NA,1,0
"33313","custom","Z68.1",1,4
"33317","custom",NA,1,0
"33322","custom","I10",3,2
"33327","R21","J03.90",1,1
"33331","custom",NA,1,0
"33332","E78.5","I10",1,5
"33401","F43.1","F31.4",1,1
"33404","Z68.20","F10.10",1,1
"33411","Z68.23","Z01.89",1,1
"33428","E78.5","E11.40",1,2
"33437","Z01.89","Z68.24",1,1
"33442","R09.82","Z91.81",1,1
"33445","E11.69","E11.65",1,5
"33467","E03.9","Z23",1,4
"33484","L08.9",NA,1,0
"33523","M79.651",NA,1,0
"33573","Z68.30","I10",1,4
"33598","H10.9","J06.9",1,1
"33629","custom",NA,1,0
"33708","L03.012",NA,1,0
"33837","R21","custom",1,2
"33897","custom",NA,1,0
"33914","Z68.22","G44.019",1,1
"33967","I48.91","E11.9",1,5
"34105","J45.909","E78.2",1,21
"34112","R31.0",NA,1,0
"34134","I95.9",NA,1,0
"34285","custom","F33.2",1,1
"34293","I10","E11.65",1,6
"34606","B97.89","Z68.34",1,1
"34638","R19.7",NA,1,0
"34655","E55.9","Z68.20",1,3
"34683","H10.512",NA,1,0
"34741","F41.9","F41.0",1,3
"34743","Z68.24","Z01.89",1,1
"34744","E66.09","I10",1,2
"34746","I10","E78.5",1,13
"34758","E66.3","Z68.27",1,3
"34759","custom","E78.5",2,5
"34761","J20.9",NA,2,0
"34772","custom","E03.9",3,8
"34953","T78.49XA","R10.84",1,1
"34984","K21.9","R73.9",1,1
"34986","D51.0","F41.9",1,10
"35115","M25.562","Z68.1",1,1
"35120","F10.10","J00",1,1
"35806","R59.0","J45.909",1,1
"36532","M79.1","M54.2",1,1
"37043","J03.90",NA,1,0
"37067","Z01.89",NA,1,0
"37211","I10",NA,1,0
"37403","custom",NA,1,0
"37405","I63.9","I10",1,3
"38116","Z09","R03.0",1,2
"38120","N49.2","S09.90XA",1,1
"39581","H61.21",NA,1,0
"40213","custom","T81.30XA",1,1
"41042","custom","Z68.24",1,1
"43016","N39.0",NA,1,0
"43209","R51",NA,1,0
"43213","N30.81",NA,1,0
"43291","Z68.25","Z01.89",1,1
"44122","H00.012","Z68.24",1,1
"44139","custom","R51",1,1
"44212","custom","F41.9",1,1
"45415","E11.44","E11.65",1,1
"45817","Z87.39","D68.2",1,1
"46140","custom",NA,1,0
"48026","J00",NA,1,0
"48125","Z68.27","N39.0",1,1
"48315","J06.0","J01.90",1,1
"48382","Z68.52","J45.901",1,1
"48439","J00","H10.9",1,1
"48503","Z68.20","L02.91",1,1
"50317","J02.9","J00",1,1
"53210","J02.0",NA,1,0
"53219","J02.9","R09.82",1,1
"53402","Z11.1","Z00.00",1,2
"53703","A09","K92.1",1,1
"53705","H57.9",NA,1,0
"55104","Z68.34","J44.9",1,1
"55110","custom",NA,1,0
"55408","F90.0","B00.9",1,1
"58102","M79.671","M79.651",1,1
"58260","custom",NA,1,0
"60025","R10.9","R11.10",1,1
"60068","B85.3","Z68.25",1,1
"60076","custom","S90.426A",1,1
"60085","G47.01","Z68.41",1,3
"60102","G25.81","Z68.21",1,2
"60478","Z68.1","Z11.3",1,1
"60504","G89.11","L03.90",1,1
"60543","V68.9","custom",1,1
"60601","B37.9","Z68.1",1,1
"60607","M79.675","Z68.27",1,1
"60610","custom",NA,1,0
"60613","A38.9",NA,1,0
"60645","custom","R73.9",1,1
"60647","Z68.25","Z11.3",1,1
"60712","Z01.89","Z68.28",1,2
"61462","I10","N39.0",1,1
"62301","J00","Z68.32",1,1
"63043","Z00.01",NA,1,0
"63128","G63","G47.429",1,1
"63130","Z68.22","J02.9",1,1
"66741","H65.191","Z00.121",1,1
"66753","M54.5","R31.9",1,1
"67101","A64","Z11.3",1,1
"67208","J31.0","J02.9",1,1
"67801","Z71.89","Z71.3",1,2
"68144","R10.30",NA,1,0
"700101","I50.23","I10",1,8
"70117","I10","custom",1,10
"70123","Z09","Z11.1",1,1
"70458","custom","S61.412A",1,1
"74134","Z68.34","Z71.7",1,1
"75001","E34.9",NA,1,0
"75010","custom",NA,1,0
"75025","J00","Z68.20",1,1
"75230","Z01.89","J03.90",1,1
"75249","custom",NA,1,0
"75254","custom","D57.3",1,4
"76549","M83.9","R73.9",1,2
"77020","H92.01",NA,1,0
"77024","Z23","Z00.129",2,3
"77088","Z01.89","J01.90",1,1
"77302","custom",NA,1,0
"77379","Z68.21","Z48.02",1,1
"77381","J02.9",NA,1,0
"77382","H10.10",NA,1,0
"77469","custom",NA,1,0
"77598","Z68.29","I10",1,1
"77979","Z68.1","J06.9",1,1
"78045","Z13.89","R01.0",1,1
"78230","Z68.23","Z32.01",1,2
"78233","custom",NA,1,0
"78251","I10","F41.9",1,5
"78258","J45.901","J30.9",1,1
"78526","I10",NA,1,0
"78669","custom",NA,1,0
"78721","R03.0",NA,1,0
"78746","custom",NA,1,0
"78750","J02.9","Z68.28",1,1
"78758","Z00.129","Z68.52",1,3
"79109","M54.9","I10",1,1
"79707","V70.0","custom",1,1
"80016","R14.0",NA,1,0
"80202","Z68.24","B00.1",1,1
"80206","custom","M54.9",1,1
"80207","J20.9","R05",1,1
"80403","Z20.2","Z32.02",1,1
"81631","J06.0","J03.01",1,1
"85283","R42","I10",1,1
"85323","R20.8",NA,1,0
"85379","Z01.89","H92.01",1,1
"89061","F03.90","I50.9",1,1
"89117","R21",NA,1,0
"89119","Z00.00","Z68.23",1,1
"89130","N48.1","B07.0",1,1
"89143","Z68.26","Z13.89",1,1
"89148","R73.01","E78.5",1,1
"90004","R05","J02.8",1,1
"90024","custom","V25.9",1,1
"90035","Z23","T07",1,1
"90039","custom",NA,1,0
"90048","Z71.3",NA,1,0
"90230","E11.9","E16.2",1,1
"90272","G40.919","Z68.23",1,4
"90280","Z68.23","F10.10",1,1
"90292","custom",NA,1,0
"90302","custom","V70.0",1,1
"90638","H81.313","F41.8",1,1
"90803","Z68.21","Z12.31",1,1
"91320","custom",NA,1,0
"91403","T14.90","M25.571",1,1
"91607","N39.0",NA,1,0
"92117","V70.0","custom",1,1
"92277","R42","R55",1,1
"92563","R50.9","F41.9",1,1
"92592","Z30.9",NA,1,0
"92614","Z11.1","Z09",1,1
"92617","M77.52",NA,1,0
"92660","custom",NA,1,0
"92663","R00.2","Z68.52",1,1
"92705","K64.9",NA,1,0
"93308","Z68.30","J40",1,1
"93312","E03.9","Z68.35",1,2
"94043","J03.00","H66.93",1,1
"94103","Z68.23","Z01.89",1,1
"94109","R55",NA,1,0
"94117","I10","R51",1,1
"94122","S50.362S",NA,1,0
"94559","Z91.81","R29.6",1,2
"94925","custom",NA,1,0
"95060","J02.9","J06.0",1,1
"95148","A64",NA,1,0
"95618","custom",NA,1,0
"96789","T78.40XA","R05",1,1
"97035","Z01.89","L02.92",1,1
"97223","R05","R09.82",1,1
"97230","Z01.30","Z68.33",1,1
"98027","L05.01",NA,1,0
"98125","Z68.25","H72.91",1,1
"98512","custom","F10.10",1,1
"99501","custom",NA,1,0
"99504","Z13.89","Z23",1,1
